text,merek,jenis_produk,kandungan,manfaat
bioaqua sheet mask hydrating essence face brightening moisturizing anti - aging wajah,bioaqua,"essence face, sheet mask",,"hydrating, brightening moisturizing, anti - aging wajah"
elformula intensive peeling solution serum exfoliating wajah mencerahkan dark spot angkat sel kulit mati aha bha pha,elformula,intensive peeling solution serum,aha bha pha,exfoliating wajah mencerahkan dark spot angkat sel kulit mati
rorec hchana mask sheet,rorec hchana,mask sheet,,
mask bubuk lea gloria size,lea gloria,mask bubuk,,size
patch pimple jerawat sticker menghilangkan angkat speedy solution anti trouble,,patch pimple jerawat sticker,,menghilangkan angkat speedy solution anti trouble
npure toner cica jerawat kulit berminyak travel size acid hydrating mencerahkan wajah kotoran,npure,toner,"cica, acid","jerawat kulit berminyak travel size, hydrating mencerahkan wajah kotoran"
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa"
camille,camille,,,
bioaqua sheet mask wajah white anti - aging repair moisturizing facial,bioaqua,sheet mask,,wajah white anti - aging repair moisturizing facial
the originote cicamide facial cleanser face wash sabun cuci wajah mencerahkan melembabkan ceramide niacinamide,the originote,facial cleanser face wash sabun cuci wajah,"ceramide niacinamide, cicamide",mencerahkan melembabkan
the originote hyalucera moisturizer gel pelembab wajah memperbaiki skin barrier primer menghidrasi kulit hyaluronic acid ceramide,the originote,moisturizer gel pelembab wajah,"hyaluronic acid ceramide, hyalucera",memperbaiki skin barrier primer menghidrasi kulit
glowsophy watermelon brightening moisturizer,glowsophy,moisturizer,watermelon,brightening
sadoer mask pelembab menghidrasi mengecilkan pori,sadoer,"mask, pelembab",,menghidrasi mengecilkan pori
the originote niaceramide sunscreen mist spf 50 pa spray melindungi wajah dari sinar matahari mencerahkan niacinamide ceramide,the originote,"spray, sunscreen mist","pa, niaceramide, niacinamide ceramide","spf 50, melindungi wajah dari sinar matahari mencerahkan"
poupeepou mask scrub lulur badan,poupeepou,"scrub lulur badan, mask",,
the originote mugwort b3 clay stick mask wajah jerawat menenangkan membuat kencang halus niacinamide,the originote,clay stick mask wajah,"mugwort b3, niacinamide",jerawat menenangkan membuat kencang halus
glad2glow centella soothing moisturizer gel cica pelembab wajah oil control hydrating jerawat cream day night memperbaiki skin barrier primer menghidrasi kulit,glad2glow,"moisturizer gel, jerawat cream, pelembab wajah, night","cica, centella soothing","day, oil control hydrating, memperbaiki skin barrier primer menghidrasi kulit"
wardah uv shield aqua fresh essence active protection serum spf 50 pa sunscreen sun screen,wardah,"sunscreen sun screen, serum, essence",,"active protection, uv shield aqua fresh, spf 50 pa"
green mask stick meidian wajah stik tea cleansing,meidian,"green mask stick, wajah stik",tea,cleansing
glad2glow blueberry moisturizer cream ceramide skin barrier repair pelembab wajah white facial day night malam,glad2glow,"pelembab wajah white, moisturizer cream","blueberry, ceramide","facial day night malam, skin barrier repair"
natur90 peel off mask goat milk charcoal naturgo jerawat wajah,"natur90, naturgo",peel off mask,"charcoal, goat milk",jerawat wajah
scora salicylic acid low ph cleanser sabun cuci wajah oily jerawat prone skin,scora,cleanser sabun cuci wajah,salicylic acid,"low ph, oily jerawat prone skin"
the originote bha charcoal clay mask wajah exfoliating angkat sel kulit mati menghilangkan minyak berlebih,the originote,clay mask wajah,bha charcoal,exfoliating angkat sel kulit mati menghilangkan minyak berlebih
the originote ceramella sunscreen spf50 pa serum untuk skin barrier protect melindungi dari sinar matahari ceramide vitamin c,the originote,"serum, sunscreen","ceramide vitamin c, ceramella","spf50 pa, untuk skin barrier protect melindungi dari sinar matahari"
skintific ceramide barrier moisturizer gel cream white wajah calming brightening dark spot pelembab facial day night niacinamide centella marine collagen hyaluronic acid,skintific,"moisturizer gel cream white wajah, pelembab facial","niacinamide centella marine collagen hyaluronic acid, ceramide","barrier, day night, calming brightening dark spot"
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging wajah glowing,bioaqua,"essence, sheet mask",,"anti - aging wajah glowing, hydrating, brightening moisturizing"
little pop face mist camille,"little pop, camille",face mist,,
glad2glow pelembab wajah pomegranate niacinamide brightening moisturizer white cream serum pencerah blueberry ceramide skin barrier repair clay mask,glad2glow,"moisturizer white cream serum, clay mask, pelembab wajah","pomegranate, niacinamide, blueberry ceramide","pencerah, skin barrier repair, brightening"
whitelab brightening facial wash sabun cleanser wajah pencerah niacinamide hyaluronic collagen,whitelab,facial wash sabun cleanser wajah,niacinamide hyaluronic collagen,"pencerah, brightening"
jerawat patch penghilang kempes asam salisilat pengobatan menghilangkan wajah untuk perawatan kulit,,jerawat patch,asam salisilat,"pengobatan menghilangkan wajah untuk perawatan kulit, penghilang kempes"
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"yang mencerahkan kulit memperbaiki skin barrier perfecting make up, hydramoist"
sadoer sheet mask,sadoer,sheet mask,,
glad2glow clay mask wajah face cleansing stick salicylic acid anti pores jerawat penghilangkomedo centella facial wash mugwort menenangkan membuat kencang halus,glad2glow,"facial wash, clay mask wajah face cleansing stick","centella, mugwort, salicylic acid","menenangkan membuat kencang halus, anti pores jerawat penghilangkomedo"
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa"
the originote brightening moisturizer pelembab wajah untuk mencerahkan meratakan warna kulit niacinamide,the originote,moisturizer pelembab wajah,niacinamide,"untuk mencerahkan meratakan warna kulit, brightening"
azarine hydrasoothe sunscreen gel spf45 pa kulit berminyak jerawat,azarine,sunscreen gel,,"spf45 pa kulit berminyak jerawat, hydrasoothe"
npure cica jerawat toner kulit berminyak mencerahkan acid beruntusan hydrating wajah hitam,npure,toner,"cica, acid","kulit berminyak mencerahkan, jerawat, beruntusan hydrating wajah hitam"
azarine hydrasoothe sunscreen gel spf spf50 pa spf45 hydramax sunmoist toneup mist,azarine,"sunscreen gel, sunmoist toneup mist",,"spf spf50 pa spf45 hydramax, hydrasoothe"
bioaqua mask wajah face glowing rice milk oat red bean com protein soybean white firming delicate skin brightening moisturizing,bioaqua,mask wajah,rice milk oat red bean com protein soybean,"white firming delicate skin brightening moisturizing, face glowing"
implora shield sunscreen spf 40 pa sun screen tabir surya sunblock,implora,"sun screen tabir surya sunblock, sunscreen",,"shield, spf 40 pa"
viva milk cleanser susu face tonic penyegar toner air mawar,viva,"face tonic, milk cleanser, toner","susu, air mawar",penyegar
azarine calm my jerawat sunscreen moisturizer spf35 pa gel untuk kulit berminyak sensitif,azarine,"gel, sunscreen moisturizer",,"untuk kulit berminyak sensitif, spf35 pa, calm my jerawat"
jerawat pimple patch penghilang siang malam asam salisilat perawatan kulit skin repair,,jerawat pimple patch,asam salisilat,"siang malam, perawatan kulit skin repair, penghilang"
bioaqua essence sheet mask,bioaqua,essence sheet mask,,
azarine hydrasoothe sunscreen gel spf spf45 pa spf50,azarine,sunscreen gel,,"spf spf45 pa spf50, hydrasoothe"
jca20 spatula mask silikon facial kuas,jca20,"facial kuas, spatula mask",silikon,
viva milk cleanser face tonic air mawar susu toner penyegar,viva,"milk cleanser face tonic, toner",air mawar susu,penyegar
viva milk cleanser face tonic air mawar,viva,milk cleanser face tonic,air mawar,
the originote cica soothing moisturizer menenangkan kulit kemerahan mengunci hidrasi centella asiatica,the originote,moisturizer,"cica, centella asiatica","soothing, menenangkan kulit kemerahan mengunci hidrasi"
the originote hyalucera moisturizer gel hyaluron ceramide chlorelina pelembap wajah,the originote,"moisturizer gel, pelembap wajah","hyalucera, hyaluron ceramide chlorelina",
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa"
bioaqua sheet mask plant flowers eye facial brightening glowing moisturizing hydrating essence anti jerawat honey vitamin c pelembab kulit,bioaqua,"essence, pelembab, sheet mask","honey vitamin c, plant flowers","kulit, anti jerawat, hydrating, eye facial brightening glowing moisturizing"
skintific niacinamide brightening moisturizer gel cream white wajah calming dark spot pelembab facial day night arbutin acid,skintific,"moisturizer gel cream, pelembab facial","arbutin acid, niacinamide","white wajah calming dark spot, day night, brightening"
yessica tea tree strawberry anti pores jerawat clay stick mask,yessica,clay stick mask,tea tree strawberry,anti pores jerawat
azarine calm my jerawat sunscreen moisturizer spf35 pa gel untuk kulit berminyak sensitif,azarine,"gel, sunscreen moisturizer",,"untuk kulit berminyak sensitif, spf35 pa, calm my jerawat"
rorec hchana mask sheet,rorec hchana,mask sheet,,
meidian green tea stick mask cleanser pori komedo penghilang,meidian,stick mask cleanser,green tea,pori komedo penghilang
somethinc calm down skinpair cream moisturizer centella asiatica skin barrier kulit sensitif iritasi,somethinc,cream moisturizer,centella asiatica,"skin barrier kulit sensitif iritasi, calm down skinpair"
jerawat patch stiker hydrocolloid pimple,,"jerawat patch stiker, pimple",hydrocolloid,
bioaqua moisturizer cream white wajah penghilang flek hitam fade dark spot mencerahkan day night pelembab kering kusam moisturizing brightening,bioaqua,"cream white wajah, moisturizer, pelembab",,"penghilang flek hitam fade dark spot mencerahkan day night, kering kusam moisturizing brightening"
skin aqua uv white milk spf 50 pa putih,skin aqua,white milk,,"uv, spf 50 pa putih"
jerawat pimple patch stiker perawatan kulit penghilang acnes,,jerawat pimple patch stiker,,perawatan kulit penghilang acnes
poupeepou mask komedo gelatin,poupeepou,mask komedo,gelatin,
fleuri mask wajah lea gloria,"lea gloria, fleuri",mask wajah,,
gmeelan orange exfoliating gel peeling face gluta white cream day,gmeelan orange,"exfoliating gel peeling face, cream",gluta,"day, white"
meidian green tea mask cleansing clay stick wajah cleanser komedo,meidian,"mask, clay stick wajah cleanser",green tea,"komedo, cleansing"
