text,merek,jenis_produk,kandungan,manfaat,topik,alasan_topik_kosong,topik_label
bioaqua sheet mask hydrating essence face brightening moisturizing anti - aging wajah,bioaqua,"sheet mask, essence face",,"hydrating, brightening moisturizing, anti - aging wajah",0.0,,Skincare Anti-Aging dan Brightening
elformula intensive peeling solution serum exfoliating wajah mencerahkan dark spot angkat sel kulit mati aha bha pha,elformula,intensive peeling solution serum,aha bha pha,exfoliating wajah mencerahkan dark spot angkat sel kulit mati,4.0,,Brightening dengan Bahan Aktif
rorec hchana mask sheet,rorec hchana,mask sheet,,,0.0,,Skincare Anti-Aging dan Brightening
mask bubuk lea gloria size,lea gloria,mask bubuk,,size,0.0,,Skincare Anti-Aging dan Brightening
patch pimple jerawat sticker menghilangkan angkat speedy solution anti trouble,,patch pimple jerawat sticker,,menghilangkan angkat speedy solution anti trouble,1.0,,Pembersih Wajah dan Perawatan Jerawat
npure toner cica jerawat kulit berminyak travel size acid hydrating mencerahkan wajah kotoran,npure,toner,"cica, acid","jerawat kulit berminyak travel size, hydrating mencerahkan wajah kotoran",4.0,,Brightening dengan Bahan Aktif
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa",0.0,,Skincare Anti-Aging dan Brightening
camille,camille,,,,,entitas tidak dikenali dictionary LDA,
bioaqua sheet mask wajah white anti - aging repair moisturizing facial,bioaqua,sheet mask,,wajah white anti - aging repair moisturizing facial,4.0,,Brightening dengan Bahan Aktif
the originote cicamide facial cleanser face wash sabun cuci wajah mencerahkan melembabkan ceramide niacinamide,the originote,facial cleanser face wash sabun cuci wajah,"cicamide, ceramide niacinamide",mencerahkan melembabkan,1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote hyalucera moisturizer gel pelembab wajah memperbaiki skin barrier primer menghidrasi kulit hyaluronic acid ceramide,the originote,moisturizer gel pelembab wajah,"hyalucera, hyaluronic acid ceramide",memperbaiki skin barrier primer menghidrasi kulit,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
glowsophy watermelon brightening moisturizer,glowsophy,moisturizer,watermelon,brightening,1.0,,Pembersih Wajah dan Perawatan Jerawat
sadoer mask pelembab menghidrasi mengecilkan pori,sadoer,"mask, pelembab",,menghidrasi mengecilkan pori,3.0,,Hidrasi dan Perawatan Kulit Sensitif
the originote niaceramide sunscreen mist spf 50 pa spray melindungi wajah dari sinar matahari mencerahkan niacinamide ceramide,the originote,"sunscreen mist, spray","niaceramide, pa, niacinamide ceramide","spf 50, melindungi wajah dari sinar matahari mencerahkan",0.0,,Skincare Anti-Aging dan Brightening
poupeepou mask scrub lulur badan,poupeepou,"mask, scrub lulur badan",,,1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote mugwort b3 clay stick mask wajah jerawat menenangkan membuat kencang halus niacinamide,the originote,clay stick mask wajah,"mugwort b3, niacinamide",jerawat menenangkan membuat kencang halus,1.0,,Pembersih Wajah dan Perawatan Jerawat
glad2glow centella soothing moisturizer gel cica pelembab wajah oil control hydrating jerawat cream day night memperbaiki skin barrier primer menghidrasi kulit,glad2glow,"moisturizer gel, pelembab wajah, jerawat cream, night","centella soothing, cica","oil control hydrating, day, memperbaiki skin barrier primer menghidrasi kulit",1.0,,Pembersih Wajah dan Perawatan Jerawat
wardah uv shield aqua fresh essence active protection serum spf 50 pa sunscreen sun screen,wardah,"essence, serum, sunscreen sun screen",,"uv shield aqua fresh, active protection, spf 50 pa",0.0,,Skincare Anti-Aging dan Brightening
green mask stick meidian wajah stik tea cleansing,meidian,"green mask stick, wajah stik",tea,cleansing,4.0,,Brightening dengan Bahan Aktif
glad2glow blueberry moisturizer cream ceramide skin barrier repair pelembab wajah white facial day night malam,glad2glow,"moisturizer cream, pelembab wajah white","blueberry, ceramide","skin barrier repair, facial day night malam",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
natur90 peel off mask goat milk charcoal naturgo jerawat wajah,"natur90, naturgo",peel off mask,"goat milk, charcoal",jerawat wajah,0.0,,Skincare Anti-Aging dan Brightening
scora salicylic acid low ph cleanser sabun cuci wajah oily jerawat prone skin,scora,cleanser sabun cuci wajah,salicylic acid,"low ph, oily jerawat prone skin",1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote bha charcoal clay mask wajah exfoliating angkat sel kulit mati menghilangkan minyak berlebih,the originote,clay mask wajah,bha charcoal,exfoliating angkat sel kulit mati menghilangkan minyak berlebih,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote ceramella sunscreen spf50 pa serum untuk skin barrier protect melindungi dari sinar matahari ceramide vitamin c,the originote,"sunscreen, serum","ceramella, ceramide vitamin c","spf50 pa, untuk skin barrier protect melindungi dari sinar matahari",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
skintific ceramide barrier moisturizer gel cream white wajah calming brightening dark spot pelembab facial day night niacinamide centella marine collagen hyaluronic acid,skintific,"moisturizer gel cream white wajah, pelembab facial","ceramide, niacinamide centella marine collagen hyaluronic acid","barrier, calming brightening dark spot, day night",1.0,,Pembersih Wajah dan Perawatan Jerawat
bioaqua sheet mask brightening moisturizing hydrating essence anti - aging wajah glowing,bioaqua,"sheet mask, essence",,"brightening moisturizing, hydrating, anti - aging wajah glowing",0.0,,Skincare Anti-Aging dan Brightening
little pop face mist camille,"little pop, camille",face mist,,,3.0,,Hidrasi dan Perawatan Kulit Sensitif
glad2glow pelembab wajah pomegranate niacinamide brightening moisturizer white cream serum pencerah blueberry ceramide skin barrier repair clay mask,glad2glow,"pelembab wajah, moisturizer white cream serum, clay mask","pomegranate, niacinamide, blueberry ceramide","brightening, pencerah, skin barrier repair",1.0,,Pembersih Wajah dan Perawatan Jerawat
whitelab brightening facial wash sabun cleanser wajah pencerah niacinamide hyaluronic collagen,whitelab,facial wash sabun cleanser wajah,niacinamide hyaluronic collagen,"brightening, pencerah",3.0,,Hidrasi dan Perawatan Kulit Sensitif
jerawat patch penghilang kempes asam salisilat pengobatan menghilangkan wajah untuk perawatan kulit,,jerawat patch,asam salisilat,"penghilang kempes, pengobatan menghilangkan wajah untuk perawatan kulit",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
scora niacinamide hydramoist gel pelembab wajah yang mencerahkan kulit memperbaiki skin barrier perfecting make up,scora,gel pelembab wajah,niacinamide,"hydramoist, yang mencerahkan kulit memperbaiki skin barrier perfecting make up",1.0,,Pembersih Wajah dan Perawatan Jerawat
sadoer sheet mask,sadoer,sheet mask,,,0.0,,Skincare Anti-Aging dan Brightening
glad2glow clay mask wajah face cleansing stick salicylic acid anti pores jerawat penghilangkomedo centella facial wash mugwort menenangkan membuat kencang halus,glad2glow,"clay mask wajah face cleansing stick, facial wash","salicylic acid, centella, mugwort","anti pores jerawat penghilangkomedo, menenangkan membuat kencang halus",4.0,,Brightening dengan Bahan Aktif
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa",0.0,,Skincare Anti-Aging dan Brightening
the originote brightening moisturizer pelembab wajah untuk mencerahkan meratakan warna kulit niacinamide,the originote,moisturizer pelembab wajah,niacinamide,"brightening, untuk mencerahkan meratakan warna kulit",4.0,,Brightening dengan Bahan Aktif
azarine hydrasoothe sunscreen gel spf45 pa kulit berminyak jerawat,azarine,sunscreen gel,,"hydrasoothe, spf45 pa kulit berminyak jerawat",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
npure cica jerawat toner kulit berminyak mencerahkan acid beruntusan hydrating wajah hitam,npure,toner,"cica, acid","jerawat, kulit berminyak mencerahkan, beruntusan hydrating wajah hitam",4.0,,Brightening dengan Bahan Aktif
azarine hydrasoothe sunscreen gel spf spf50 pa spf45 hydramax sunmoist toneup mist,azarine,"sunscreen gel, sunmoist toneup mist",,"hydrasoothe, spf spf50 pa spf45 hydramax",0.0,,Skincare Anti-Aging dan Brightening
bioaqua mask wajah face glowing rice milk oat red bean com protein soybean white firming delicate skin brightening moisturizing,bioaqua,mask wajah,rice milk oat red bean com protein soybean,"face glowing, white firming delicate skin brightening moisturizing",3.0,,Hidrasi dan Perawatan Kulit Sensitif
implora shield sunscreen spf 40 pa sun screen tabir surya sunblock,implora,"sunscreen, sun screen tabir surya sunblock",,"shield, spf 40 pa",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
viva milk cleanser susu face tonic penyegar toner air mawar,viva,"milk cleanser, face tonic, toner","susu, air mawar",penyegar,1.0,,Pembersih Wajah dan Perawatan Jerawat
azarine calm my jerawat sunscreen moisturizer spf35 pa gel untuk kulit berminyak sensitif,azarine,"sunscreen moisturizer, gel",,"calm my jerawat, spf35 pa, untuk kulit berminyak sensitif",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
jerawat pimple patch penghilang siang malam asam salisilat perawatan kulit skin repair,,jerawat pimple patch,asam salisilat,"penghilang, siang malam, perawatan kulit skin repair",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
bioaqua essence sheet mask,bioaqua,essence sheet mask,,,0.0,,Skincare Anti-Aging dan Brightening
azarine hydrasoothe sunscreen gel spf spf45 pa spf50,azarine,sunscreen gel,,"hydrasoothe, spf spf45 pa spf50",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
jca20 spatula mask silikon facial kuas,jca20,"spatula mask, facial kuas",silikon,,0.0,,Skincare Anti-Aging dan Brightening
viva milk cleanser face tonic air mawar susu toner penyegar,viva,"milk cleanser face tonic, toner",air mawar susu,penyegar,1.0,,Pembersih Wajah dan Perawatan Jerawat
viva milk cleanser face tonic air mawar,viva,milk cleanser face tonic,air mawar,,1.0,,Pembersih Wajah dan Perawatan Jerawat
the originote cica soothing moisturizer menenangkan kulit kemerahan mengunci hidrasi centella asiatica,the originote,moisturizer,"cica, centella asiatica","soothing, menenangkan kulit kemerahan mengunci hidrasi",2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote hyalucera moisturizer gel hyaluron ceramide chlorelina pelembap wajah,the originote,"moisturizer gel, pelembap wajah","hyalucera, hyaluron ceramide chlorelina",,2.0,,"Pelembap, Retinol, dan Perlindungan Kulit"
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa",0.0,,Skincare Anti-Aging dan Brightening
bioaqua sheet mask plant flowers eye facial brightening glowing moisturizing hydrating essence anti jerawat honey vitamin c pelembab kulit,bioaqua,"sheet mask, essence, pelembab","plant flowers, honey vitamin c","eye facial brightening glowing moisturizing, hydrating, anti jerawat, kulit",3.0,,Hidrasi dan Perawatan Kulit Sensitif
