text,merek,jenis_produk,kandungan,manfaat,topik,topik_label
bioaqua sheet mask hydrating essence face brightening moisturizing anti - aging wajah,bioaqua,"essence face, sheet mask",,"anti - aging wajah, brightening moisturizing, hydrating",4,Hidrasi dan Perawatan Kulit Sensitif
elformula intensive peeling solution serum exfoliating wajah mencerahkan dark spot angkat sel kulit mati aha bha pha,elformula,intensive peeling solution serum,aha bha pha,exfoliating wajah mencerahkan dark spot angkat sel kulit mati,5,Brightening dengan Bahan Aktif
rorec hchana mask sheet,rorec hchana,mask sheet,,,,
mask bubuk lea gloria size,lea gloria,mask bubuk,,size,,
patch pimple jerawat sticker menghilangkan angkat speedy solution anti trouble,,patch pimple jerawat sticker,,menghilangkan angkat speedy solution anti trouble,,
npure toner cica jerawat kulit berminyak travel size acid hydrating mencerahkan wajah kotoran,npure,toner,"acid, cica","hydrating mencerahkan wajah kotoran, jerawat kulit berminyak travel size",5,Brightening dengan Bahan Aktif
facetology non comedogenic sunscreen triple care spf 40 pa,facetology,sunscreen,,"non comedogenic, triple care spf 40 pa",1,Skincare Anti-Aging dan Brightening
camille,camille,,,,,
bioaqua sheet mask wajah white anti - aging repair moisturizing facial,bioaqua,sheet mask,,wajah white anti - aging repair moisturizing facial,,
the originote cicamide facial cleanser face wash sabun cuci wajah mencerahkan melembabkan ceramide niacinamide,the originote,facial cleanser face wash sabun cuci wajah,"ceramide niacinamide, cicamide",mencerahkan melembabkan,,
the originote hyalucera moisturizer gel pelembab wajah memperbaiki skin barrier primer menghidrasi kulit hyaluronic acid ceramide,the originote,moisturizer gel pelembab wajah,"hyalucera, hyaluronic acid ceramide",memperbaiki skin barrier primer menghidrasi kulit,3,"Pelembap, Retinol, dan Perlindungan Kulit"
glowsophy watermelon brightening moisturizer,glowsophy,moisturizer,watermelon,brightening,1,Skincare Anti-Aging dan Brightening
sadoer mask pelembab menghidrasi mengecilkan pori,sadoer,"mask, pelembab",,menghidrasi mengecilkan pori,3,"Pelembap, Retinol, dan Perlindungan Kulit"
the originote niaceramide sunscreen mist spf 50 pa spray melindungi wajah dari sinar matahari mencerahkan niacinamide ceramide,the originote,"spray, sunscreen mist","niaceramide, niacinamide ceramide, pa","melindungi wajah dari sinar matahari mencerahkan, spf 50",3,"Pelembap, Retinol, dan Perlindungan Kulit"
poupeepou mask scrub lulur badan,poupeepou,"mask, scrub lulur badan",,,,
